gene.id,gene.name,function
ENSG00000186092.4,OR4F5,protein coding
ENSG00000278566.1,OR4F29,protein coding
ENSG00000273547.1,OR4F16,protein coding
ENSG00000187634.11,SAMD11,protein coding
ENSG00000188976.10,NOC2L,protein coding
ENSG00000187961.13,KLHL17,protein coding
ENSG00000187583.10,PLEKHN1,protein coding
ENSG00000187642.9,PERM1,protein coding
ENSG00000188290.10,HES4,protein coding
ENSG00000187608.8,ISG15,protein coding
ENSG00000188157.14,AGRN,protein coding
ENSG00000237330.2,RNF223,protein coding
ENSG00000131591.17,C1orf159,protein coding
ENSG00000162571.13,TTLL10,protein coding
ENSG00000186891.13,TNFRSF18,protein coding
ENSG00000186827.10,TNFRSF4,protein coding
ENSG00000078808.16,SDF4,protein coding
ENSG00000176022.4,B3GALT6,protein coding
ENSG00000184163.3,C1QTNF12,protein coding
ENSG00000160087.20,UBE2J2,protein coding
ENSG00000162572.20,SCNN1D,protein coding
ENSG00000131584.18,ACAP3,protein coding
ENSG00000169972.11,PUSL1,protein coding
ENSG00000127054.20,INTS11,protein coding
ENSG00000224051.6,CPTP,protein coding
ENSG00000169962.4,TAS1R3,protein coding
ENSG00000107404.19,DVL1,protein coding
ENSG00000162576.16,MXRA8,protein coding
ENSG00000175756.13,AURKAIP1,protein coding
ENSG00000221978.11,CCNL2,protein coding
ENSG00000242485.5,MRPL20,protein coding
ENSG00000235098.8,ANKRD65,protein coding
ENSG00000205116.3,TMEM88B,protein coding
ENSG00000179403.11,VWA1,protein coding
ENSG00000215915.9,ATAD3C,protein coding
ENSG00000160072.19,ATAD3B,protein coding
ENSG00000197785.13,ATAD3A,protein coding
ENSG00000205090.8,TMEM240,protein coding
ENSG00000160075.11,SSU72,protein coding
ENSG00000228594.3,FNDC10,protein coding
ENSG00000197530.12,MIB2,protein coding
ENSG00000189409.13,MMP23B,protein coding
ENSG00000248333.8,CDK11B,protein coding
ENSG00000189339.11,SLC35E2B,protein coding
ENSG00000008128.22,CDK11A,protein coding
ENSG00000215790.6,SLC35E2,protein coding
ENSG00000008130.15,NADK,protein coding
ENSG00000078369.17,GNB1,protein coding
ENSG00000169885.9,CALML6,protein coding
ENSG00000178821.12,TMEM52,protein coding
ENSG00000142609.17,CFAP74,protein coding
ENSG00000187730.8,GABRD,protein coding
ENSG00000067606.16,PRKCZ,protein coding
ENSG00000162585.16,FAAP20,protein coding
ENSG00000157933.9,SKI,protein coding
ENSG00000116151.13,MORN1,protein coding
ENSG00000157916.19,RER1,protein coding
ENSG00000157911.9,PEX10,protein coding
ENSG00000149527.17,PLCH2,protein coding
ENSG00000157881.13,PANK4,protein coding
ENSG00000197921.5,HES5,protein coding
ENSG00000157873.17,TNFRSF14,protein coding
ENSG00000157870.14,FAM213B,protein coding
ENSG00000142606.15,MMEL1,protein coding
ENSG00000215912.12,TTC34,protein coding
ENSG00000169717.6,ACTRT2,protein coding
ENSG00000142611.16,PRDM16,protein coding
ENSG00000130762.14,ARHGEF16,protein coding
ENSG00000162591.15,MEGF6,protein coding
ENSG00000158109.14,TPRG1L,protein coding
ENSG00000116213.15,WRAP73,protein coding
ENSG00000078900.14,TP73,protein coding
ENSG00000162592.9,CCDC27,protein coding
ENSG00000235169.7,SMIM1,protein coding
ENSG00000130764.9,LRRC47,protein coding
ENSG00000116198.12,CEP104,protein coding
ENSG00000169598.15,DFFB,protein coding
ENSG00000198912.10,C1orf174,protein coding
ENSG00000196581.10,AJAP1,protein coding
ENSG00000131697.17,NPHP4,protein coding
ENSG00000069424.14,KCNAB2,protein coding
ENSG00000116254.17,CHD5,protein coding
ENSG00000116251.9,RPL22,protein coding
ENSG00000158286.12,RNF207,protein coding
ENSG00000116237.15,ICMT,protein coding
ENSG00000173673.7,HES3,protein coding
ENSG00000158292.6,GPR153,protein coding
ENSG00000097021.19,ACOT7,protein coding
ENSG00000069812.11,HES2,protein coding
ENSG00000187017.15,ESPN,protein coding
ENSG00000215788.9,TNFRSF25,protein coding
ENSG00000171680.21,PLEKHG5,protein coding
ENSG00000162408.10,NOL9,protein coding
ENSG00000173662.20,TAS1R1,protein coding
ENSG00000204859.12,ZBTB48,protein coding
ENSG00000162413.16,KLHL21,protein coding
ENSG00000116273.5,PHF13,protein coding
ENSG00000041988.15,THAP3,protein coding
ENSG00000007923.15,DNAJC11,protein coding
ENSG00000171735.18,CAMTA1,protein coding
ENSG00000049245.12,VAMP3,protein coding
ENSG00000049246.14,PER3,protein coding
ENSG00000049247.13,UTS2,protein coding
ENSG00000049249.8,TNFRSF9,protein coding
ENSG00000116288.12,PARK7,protein coding
ENSG00000116285.12,ERRFI1,protein coding
ENSG00000162426.14,SLC45A1,protein coding
ENSG00000142599.17,RERE,protein coding
ENSG00000074800.13,ENO1,protein coding
ENSG00000131686.14,CA6,protein coding
ENSG00000197241.3,SLC2A7,protein coding
ENSG00000142583.17,SLC2A5,protein coding
ENSG00000180758.11,GPR157,protein coding
ENSG00000049239.12,H6PD,protein coding
ENSG00000171621.13,SPSB1,protein coding
ENSG00000171612.6,SLC25A33,protein coding
ENSG00000188807.12,TMEM201,protein coding
ENSG00000171608.15,PIK3CD,protein coding
ENSG00000171603.16,CLSTN1,protein coding
ENSG00000178585.14,CTNNBIP1,protein coding
ENSG00000162441.11,LZIC,protein coding
ENSG00000173614.13,NMNAT1,protein coding
ENSG00000162444.11,RBP7,protein coding
ENSG00000130939.18,UBE4B,protein coding
ENSG00000054523.17,KIF1B,protein coding
ENSG00000142657.20,PGD,protein coding
ENSG00000175279.21,CENPS,protein coding
ENSG00000241563.3,CORT,protein coding
ENSG00000160049.11,DFFA,protein coding
ENSG00000142655.12,PEX14,protein coding
ENSG00000130940.14,CASZ1,protein coding
ENSG00000175262.14,C1orf127,protein coding
ENSG00000120948.16,TARDBP,protein coding
ENSG00000009724.16,MASP2,protein coding
ENSG00000116649.9,SRM,protein coding
ENSG00000171824.13,EXOSC10,protein coding
ENSG00000198793.12,MTOR,protein coding
ENSG00000171819.4,ANGPTL7,protein coding
ENSG00000120942.13,UBIAD1,protein coding
ENSG00000204624.7,DISP3,protein coding
ENSG00000116661.9,FBXO2,protein coding
ENSG00000132879.13,FBXO44,protein coding
ENSG00000116663.10,FBXO6,protein coding
ENSG00000116670.14,MAD2L2,protein coding
ENSG00000162490.6,DRAXIN,protein coding
ENSG00000177674.15,AGTRAP,protein coding
ENSG00000215910.7,C1orf167,protein coding
ENSG00000177000.10,MTHFR,protein coding
ENSG00000011021.21,CLCN6,protein coding
ENSG00000175206.10,NPPA,protein coding
ENSG00000120937.8,NPPB,protein coding
ENSG00000116685.15,KIAA2013,protein coding
ENSG00000083444.16,PLOD1,protein coding
ENSG00000116688.16,MFN2,protein coding
ENSG00000116691.10,MIIP,protein coding
ENSG00000120949.14,TNFRSF8,protein coding
ENSG00000028137.18,TNFRSF1B,protein coding
ENSG00000048707.13,VPS13D,protein coding
ENSG00000162496.8,DHRS3,protein coding
ENSG00000204518.2,AADACL4,protein coding
ENSG00000188984.11,AADACL3,protein coding
ENSG00000157330.9,C1orf158,protein coding
ENSG00000116726.4,PRAMEF12,protein coding
ENSG00000116721.9,PRAMEF1,protein coding
ENSG00000239810.3,PRAMEF11,protein coding
ENSG00000179172.9,HNRNPCL1,protein coding
ENSG00000120952.4,PRAMEF2,protein coding
ENSG00000243073.3,PRAMEF4,protein coding
ENSG00000187545.5,PRAMEF10,protein coding
ENSG00000204510.5,PRAMEF7,protein coding
ENSG00000232423.6,PRAMEF6,protein coding
ENSG00000274764.5,PRAMEF27,protein coding
ENSG00000277058.2,HNRNPCL3,protein coding
ENSG00000229571.7,PRAMEF25,protein coding
ENSG00000275774.2,HNRNPCL2,protein coding
ENSG00000280267.4,PRAMEF26,protein coding
ENSG00000179412.10,HNRNPCL4,protein coding
ENSG00000204505.4,PRAMEF9,protein coding
ENSG00000279169.2,PRAMEF13,protein coding
ENSG00000279804.2,PRAMEF18,protein coding
ENSG00000270601.4,PRAMEF5,protein coding
